name,slug,draft_year,draft_pick,season,team_id,lg_id,pos
Chris Mullin,mullich01,1985,7,1985-86,GSW,NBA,SG
Detlef Schrempf,schrede01,1985,8,1985-86,DAL,NBA,SF
Charles Oakley,oaklech01,1985,9,1985-86,CHI,NBA,PF
Ed Pinckney,pincked01,1985,10,1985-86,PHO,NBA,SF
Keith Lee,leeke01,1985,11,1985-86,CLE,NBA,PF
Kenny Green,greenke02,1985,12,1985-86,TOT,NBA,SF
Karl Malone,malonka01,1985,13,1985-86,UTA,NBA,PF
Alfredrick Hughes,hugheri01,1985,14,1985-86,SAS,NBA,SG
Blair Rasmussen,rasmubl01,1985,15,1985-86,DEN,NBA,C
Bill Wennington,wennibi01,1985,16,1985-86,DAL,NBA,C
Uwe Blab,blabuw01,1985,17,1985-86,DAL,NBA,C
Joe Dumars,dumarjo01,1985,18,1985-86,DET,NBA,SG
Steve Harris,harrist01,1985,19,1985-86,HOU,NBA,SG
Sam Vincent,vincesa01,1985,20,1985-86,BOS,NBA,SG
Terry Catledge,catlete01,1985,21,1985-86,PHI,NBA,PF
Jerry Reynolds,reynoje01,1985,22,1985-86,MIL,NBA,SF
A.C. Green,greenac01,1985,23,1985-86,LAL,NBA,PF
Terry Porter,portete01,1985,24,1985-86,POR,NBA,PG
Mike Smrek,smrekmi01,1985,25,1985-86,CHI,NBA,C
Bill Martin,martibi01,1985,26,1985-86,IND,NBA,SF
Dwayne McClain,mccladw01,1985,27,1985-86,IND,NBA,SF
Ken Johnson,johnske01,1985,28,1985-86,POR,NBA,PF
Mike Brittain,brittmi01,1985,29,1985-86,SAS,NBA,C
Nick Vanos,vanosni01,1985,32,1985-86,PHO,NBA,C
Greg Stokes,stokegr01,1985,33,1985-86,PHI,NBA,PF
Tyrone Corbin,corbity01,1985,35,1985-86,SAS,NBA,SF
Yvon Joseph,josepyv01,1985,36,1985-86,NJN,NBA,C
Carey Scurry,scurrca01,1985,37,1985-86,UTA,NBA,SF
Fernando Martín,martife01,1985,38,1986-87,POR,NBA,C
Mark Acres,acresma01,1985,40,1987-88,BOS,NBA,C
Lorenzo Charles,charllo01,1985,41,1985-86,ATL,NBA,SF
Barry Stevens,steveba01,1985,43,1992-93,GSW,NBA,SF
Voise Winters,wintevo01,1985,44,1985-86,PHI,NBA,SF
Hot Rod Williams,williho01,1985,45,1986-87,CLE,NBA,PF
Adrian Branch,brancad01,1985,46,1986-87,LAL,NBA,SF
Gerald Wilkins,wilkige01,1985,47,1985-86,NYK,NBA,SG
Brad Wright,wrighbr01,1985,49,1986-87,NYK,NBA,PF
Sam Mitchell,mitchsa01,1985,54,1989-90,MIN,NBA,PF
Sedric Toney,toneyse01,1985,59,1985-86,TOT,NBA,PG
Perry Young,youngpe01,1985,61,1986-87,TOT,NBA,SG
Harold Keeling,keeliha01,1985,63,1985-86,DAL,NBA,SG
Michael Adams,adamsmi01,1985,66,1985-86,SAC,NBA,PG
Mike Brown,brownmi01,1985,69,1986-87,CHI,NBA,C
