name,slug,college_slug,draft_year,draft_pick,season,school_name,conf_abbr,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos
Bill Hanzlik,hanzlbi01,bill-hanzlik-1,1980,20,1977-78,Notre Dame,Ind,30,,10.2,1.3,2.6,.513,,,,,,,1.0,1.3,.789,,,1.9,1.0,,,,2.1,3.7,,6.49
Bill Hanzlik,hanzlbi01,bill-hanzlik-1,1980,20,1978-79,Notre Dame,Ind,29,29,22.6,3.3,5.7,.579,,,,,,,2.2,2.7,.818,,,2.9,3.1,1.9,0.3,2.2,2.4,8.7,,3.31
Bill Hanzlik,hanzlbi01,bill-hanzlik-1,1980,20,1979-80,Notre Dame,Ind,22,22,27.4,2.8,6.1,.452,,,,,,,2.0,2.7,.733,,,3.4,2.4,1.3,0.4,,2.3,7.5,,2.61
Monti Davis,davismo01,monti-davis-1,1980,21,1977-78,Tennessee State,Ind,22,,,7.0,14.5,.481,,,,,,,2.1,3.4,.627,,,11.0,,,,,,16.0,,-9.11
Monti Davis,davismo01,monti-davis-1,1980,21,1978-79,Tennessee State,Ind,26,,,4.8,9.8,.486,,,,,,,2.5,4.2,.600,,,16.2,,,,,,15.9,,-6.77
Monti Davis,davismo01,monti-davis-1,1980,21,1979-80,Tennessee State,Ind,26,,,6.7,12.9,.522,,,,,,,3.4,4.9,.693,,,13.3,,,,,,16.8,,-11.65
Chad Kinch,kinchch01,chad-kinch-1,1980,22,1976-77,Charlotte,Sun Belt,33,,,6.6,13.5,.491,,,,,,,2.2,2.6,.828,,,3.8,3.8,,,,1.9,15.4,,-0.79
Chad Kinch,kinchch01,chad-kinch-1,1980,22,1977-78,Charlotte,Sun Belt,25,25,33.7,7.5,15.5,.486,,,,,,,2.8,3.8,.726,,,3.5,2.9,1.3,0.4,,2.6,17.8,,-0.44
Chad Kinch,kinchch01,chad-kinch-1,1980,22,1978-79,Charlotte,Sun Belt,27,27,36.1,8.4,18.0,.468,,,,,,,3.7,4.8,.775,,,3.7,2.4,0.7,0.6,,2.2,20.6,,-3.63
Chad Kinch,kinchch01,chad-kinch-1,1980,22,1979-80,Charlotte,Sun Belt,27,,39.2,7.9,15.3,.512,,,,,,,3.2,4.1,.791,,,4.0,3.2,1.0,0.4,,2.4,18.9,,-0.37
Carl Nicks,nicksca01,carl-nicks-1,1980,23,1976-77,Indiana State,MVC,24,,7.0,0.8,2.3,.370,,,,,,,0.5,1.1,.481,,,1.1,,1.4,,,0.9,2.2,,-2.07
Carl Nicks,nicksca01,carl-nicks-1,1980,23,1978-79,Indiana State,MVC,34,34,,7.9,16.9,.464,,,,,,,3.6,5.4,.667,,,3.5,5.0,1.8,0.1,,,19.3,,1.99
Carl Nicks,nicksca01,carl-nicks-1,1980,23,1979-80,Indiana State,MVC,27,27,,9.9,22.4,.441,,,,,,,7.0,9.0,.775,,,4.2,2.7,1.3,,,3.2,26.8,,0.78
Larry Smith,smithla01,larry-smith-1,1980,24,1977-78,Alcorn State,SWAC,22,,,6.2,10.5,.593,,,,,,,2.0,3.4,.608,,,10.1,,,,,3.1,14.5,,-8.45
Larry Smith,smithla01,larry-smith-1,1980,24,1978-79,Alcorn State,SWAC,29,,,7.4,12.4,.600,,,,,,,2.8,4.9,.570,,,13.7,2.1,1.2,1.2,2.0,2.4,17.7,,-4.95
Larry Smith,smithla01,larry-smith-1,1980,24,1979-80,Alcorn State,SWAC,26,,32.7,7.6,13.2,.579,,,,,,,4.8,7.0,.692,,,15.1,2.6,1.3,1.3,2.6,2.8,20.1,,-5.29
Jeff Ruland,rulanje01,jeff-ruland-1,1980,25,1977-78,Iona,Ind,26,,34.0,8.8,14.8,.594,,,,,,,4.8,6.9,.689,,,12.8,1.7,0.8,1.4,4.4,3.5,22.3,,-2.25
Jeff Ruland,rulanje01,jeff-ruland-1,1980,25,1978-79,Iona,Ind,29,29,34.0,8.0,12.0,.671,,,,,,,4.3,5.9,.721,,,11.3,0.9,0.8,1.2,4.0,3.0,20.3,,-1.66
Jeff Ruland,rulanje01,jeff-ruland-1,1980,25,1979-80,Iona,ECACM,34,,,7.5,11.7,.642,,,,,,,5.1,7.9,.648,,,12.0,1.0,0.8,1.9,3.0,3.4,20.1,,-0.58
Sam Worthen,worthsa01,sam-worthen-1,1980,26,1978-79,Marquette,Ind,29,,35.7,4.7,9.3,.506,,,,,,,2.7,3.2,.828,,,3.9,7.2,,,,2.2,12.1,,2.78
Sam Worthen,worthsa01,sam-worthen-1,1980,26,1979-80,Marquette,Ind,27,27,,6.8,14.1,.482,,,,,,,3.4,4.4,.771,,,4.4,6.5,1.4,0.3,,3.3,16.9,,4.22
John Stroud,stroujo01,john-stroud-1,1980,27,1976-77,Ole Miss,SEC,26,,,5.7,12.3,.464,,,,,,,3.0,4.3,.703,,,5.1,1.2,,,,3.3,14.5,,6.36
John Stroud,stroujo01,john-stroud-1,1980,27,1977-78,Ole Miss,SEC,27,,,7.7,15.8,.486,,,,,,,2.7,3.6,.755,,,8.5,0.9,,,,2.9,18.1,,5.43
John Stroud,stroujo01,john-stroud-1,1980,27,1978-79,Ole Miss,SEC,27,27,39.0,10.3,17.7,.578,,,,,,,5.7,7.2,.799,,,9.1,0.6,,,,3.0,26.3,,7.62
John Stroud,stroujo01,john-stroud-1,1980,27,1979-80,Ole Miss,SEC,30,,37.4,8.7,15.6,.557,,,,,,,7.8,9.7,.798,,,7.2,0.9,,,,2.5,25.2,,6.45
Craig Shelton,sheltcr01,craig-shelton-1,1980,28,1976-77,Georgetown,Ind,7,,,2.0,4.4,.452,,,,,,,0.9,1.6,.545,,,2.9,,,,,,4.9,,0.44
Craig Shelton,sheltcr01,craig-shelton-1,1980,28,1977-78,Georgetown,Ind,26,,31.5,5.8,10.1,.570,,,,,,,2.6,3.7,.691,,,8.3,1.7,1.0,0.7,,3.2,14.1,,1.29
Craig Shelton,sheltcr01,craig-shelton-1,1980,28,1978-79,Georgetown,Ind,29,,32.8,6.4,10.6,.604,,,,,,,3.4,4.4,.773,,,8.2,1.3,1.1,0.7,2.5,2.8,16.2,,1.38
Craig Shelton,sheltcr01,craig-shelton-1,1980,28,1979-80,Georgetown,Big East,31,31,33.1,6.7,11.0,.609,,,,,,,4.0,5.1,.783,,,7.0,1.3,1.1,0.2,2.1,2.7,17.3,,5.01
Louis Orr,orrlo01,louis-orr-1,1980,29,1976-77,Syracuse,Ind,30,,,3.5,6.2,.565,,,,,,,2.4,3.2,.750,,,6.5,1.7,,,,2.5,9.4,,-0.76
Louis Orr,orrlo01,louis-orr-1,1980,29,1977-78,Syracuse,Ind,28,,,5.6,10.8,.520,,,,,,,1.5,2.1,.729,,,7.8,1.3,,,,2.6,12.8,,-0.72
Louis Orr,orrlo01,louis-orr-1,1980,29,1978-79,Syracuse,Ind,28,,,5.1,8.9,.573,,,,,,,3.0,4.2,.726,,,7.7,2.3,,,,2.7,13.2,,0.02
Louis Orr,orrlo01,louis-orr-1,1980,29,1979-80,Syracuse,Big East,30,,,6.3,11.1,.569,,,,,,,3.4,4.0,.849,,,8.5,3.5,,,,2.5,16.0,,2.09
Kenny Natt,nattke01,kenny-natt-1,1980,30,1976-77,Louisiana-Monroe,Ind,27,,,2.5,6.4,.391,,,,,,,1.1,1.6,.738,,,2.3,,,,,1.9,6.2,,-6.22
Kenny Natt,nattke01,kenny-natt-1,1980,30,1977-78,Louisiana-Monroe,Ind,26,,,2.3,5.0,.450,,,,,,,0.7,1.2,.633,,,2.0,1.1,0.5,0.3,,2.2,5.3,,-6.75
Kenny Natt,nattke01,kenny-natt-1,1980,30,1978-79,Louisiana-Monroe,TAAC,28,,,1.8,4.0,.446,,,,,,,1.3,1.6,.822,,,1.7,,,,,,4.9,,-6.05
Kenny Natt,nattke01,kenny-natt-1,1980,30,1979-80,Louisiana-Monroe,TAAC,28,,,8.5,15.5,.545,,,,,,,3.1,3.9,.807,,,3.5,2.8,1.4,0.4,2.7,3.4,20.1,,-4.40
